,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,1.2278,-2.2179,15.417,-11,13,2,0,0,4.0227,0.5258,0.3047,0.00031659,0.47416,1.7924,-0.0040514,0.016692,0.023053,-0.0029673,-0.014601,-0.018125,0.015111,0.064802,0.04963,0.041931,0.0098744,0.010118,0.19539,0.19526,0.18046,0.11628,0.067887,0.02881,0.02444,1.4399,0.086043,0.98821,0.058763,0.83333,1,0.059464,0.24667,1.282,0.69486,0.031283,0.018563,0.074074
1,1.4034,-2.1368,7.2299,4,7,13,1,0,4.9715,0.42481,0.13344,0.0013168,-0.019786,1.7451,-0.017913,0.013253,0.043874,0.030375,-0.024341,-0.045248,0.028451,0.060237,0.05969,0.031334,0.01658,0.0065181,0.20522,0.20355,0.1752,0.11509,0.057701,0.027705,0.012728,-1.0001,0.036668,0.86685,0.052861,0.74,0.87333,0.06098,0.23,1.5744,2.2072,0.080491,0.059941,0.37143
2,1.3218,-1.7418,4.9672,0,12,12,0,0.32759,57.502,0.20919,0.081834,0.0017994,-0.072552,2.033,-0.028813,-0.01575,0.018699,0.047568,0.020438,-0.042142,0.010018,0.034048,0.018865,0.0096947,0.014344,0.04741,0.15235,0.1522,0.14371,0.11257,0.099415,0.10003,0.10535,0.42742,0.16256,0.90799,0.096057,0.52,0.91833,0.10579,0.59,3.8599,2.166,0.14046,0.12372,0.2807
3,1.9068,-1.8436,5.8698,5,5,10,0,0,8.6914,0.37149,0.087895,0.0019255,0.80062,2.4097,0.074003,0.031364,-0.014482,-0.025954,-0.028226,-0.036706,0.041231,0.077678,0.050206,0.023448,0.0099892,0.0056174,0.21407,0.21263,0.17185,0.09508,0.046688,0.027011,0.024505,-0.84983,0.067223,0.76498,0.034959,0.69667,0.76333,0.045699,0.15333,2.695,3.5949,0.05023,0.030013,0.38235
4,0.94515,-2.0198,1.4737,-33,43,10,0,0.033708,29.804,0.357,0.055875,0.00085445,-0.011023,2.3626,-0.011083,-0.012721,-0.0057741,0.0027943,0.0099558,0.016828,0.030309,0.042175,0.037626,0.026418,0.023845,0.012456,0.18571,0.18299,0.15358,0.11324,0.079316,0.060666,0.051672,0.26169,0.072861,0.59408,0.066585,0.41333,0.58333,0.11208,0.68333,5.055,3.1589,0.098578,0.092983,0.090909
5,2.3838,-0.24935,3.4823,11,1,12,0,0,6.1454,0.47378,0.15246,0.0013094,0.14808,2.2505,-0.024236,-0.0038897,0.033343,0.034447,-0.0047581,-0.034906,0.014933,0.036642,0.044246,0.03221,0.012407,0.036932,0.16803,0.16773,0.15343,0.12007,0.081966,0.061196,0.070203,0.55302,0.11215,0.99774,0.13922,0.77,1.0017,0.13954,0.56333,2.9946,2.0346,0.14776,0.11443,0.48148
6,1.4586,-2.0426,8.7563,-7,9,2,0,0,8.8855,0.3653,0.18022,0.00037129,0.11217,2.0749,-0.024443,-0.011342,0.018551,0.022034,0.00082224,-0.005623,0.013518,0.040858,0.041312,0.031583,0.025633,0.031716,0.17474,0.17444,0.16205,0.12288,0.084544,0.057251,0.039476,-0.87462,0.059525,0.95089,0.051699,0.85333,0.95333,0.054369,0.17667,1.3601,0.68357,0.029821,0.020018,0.068966
7,0.98323,-1.7865,7.7636,-1,9,8,0,0.026316,66.501,0.4468,0.27743,0.0040537,-0.1715,2.4442,0.014974,0.023914,0.025082,0.0045248,-0.017274,-0.051221,0.0072012,0.026729,0.034929,0.025323,0.017685,0.028013,0.15073,0.15111,0.1459,0.12419,0.09789,0.087786,0.10252,0.72544,0.16387,0.84395,0.12224,0.25333,0.855,0.14484,0.73333,3.0502,1.4258,0.12296,0.11058,0.24324
8,1.7108,-2.2692,9.3851,-22,22,0,0,0,8.4342,0.49726,0.2222,0.0022869,0.34901,1.3842,0.052684,0.063441,0.0095823,-0.03455,-0.043107,-0.048051,0.017729,0.05648,0.05621,0.034426,0.018989,0.0098988,0.19417,0.19374,0.17628,0.12133,0.067849,0.034656,0.018252,0.94312,0.074048,0.80562,0.017634,0.77667,0.80667,0.021889,0.076667,0.5847,0.43859,0.012234,0.0065528,0
9,0.60144,-2.6754,26.298,-13,16,3,0,0.064516,166.65,0.29463,0.42627,0.0066256,-0.13718,2.4608,0.03647,0.029838,0.020635,-0.013161,-0.035965,-0.037817,0.0026118,0.0089238,0.012083,0.010557,0.014454,0.023613,0.10003,0.1028,0.10599,0.10868,0.11984,0.15593,0.23448,1.1841,0.26961,0.89366,0.074333,0.54333,0.90333,0.083179,0.48333,1.0978,0.65648,0.13012,0.12151,0.13333
